,Group,FAO Cropname,Crop ID,Description,Auxillary Info,edible,prepared or preserved,whether or not containing added sugar,fresh or dried,shelled,whether or not refined,ground,beans,powder,whether or not broken,mixtures
0,Forage,alfalfa,120921, lucerne (alfalfa) seed, of a kind used for sowing,0,0,0,0,0,0,0,0,0,0,0
1,Forage,clover,120922, clover (trifolium spp.) seed, of a kind used for sowing,0,0,0,0,0,0,0,0,0,0,0
2,Treenuts,Chestnuts,80240, chestnuts (castanea spp.), fresh or dried whether or not shelled or peeled,0,0,0,1,1,0,0,0,0,0,0
3,Treenuts,Pistachios,80250, pistachios, fresh or dried whether or not shelled or peeled,0,0,0,1,1,0,0,0,0,0,0
4,OtherCrops,Chicory roots,60120, bulbs, tubers tuberous roots corms crowns and rhizomes in growth or in flower chicory plants and roots other than of heading no. 1212,0,0,0,0,0,0,0,0,0,0,0
5,OtherCrops,Cloves,90700, cloves (whole fruit, cloves and stems),0,0,0,0,0,0,0,0,0,0,0
6,OtherCrops,Ginger,91010, ginger,N/A,0,0,0,0,0,0,0,0,0,0,0
7,OtherCrops,Hops,130213, of hops,N/A,0,0,0,0,0,0,0,0,0,0,0
8,OtherCrops,Tea,90230, (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg,0,0,0,0,0,0,0,0,0,0,0
9,OtherCrops,Tea,90240, (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg,0,0,0,0,0,0,0,0,0,0,0
10,OtherCrops,Vanilla,90500, vanilla,N/A,0,0,0,0,0,0,0,0,0,0,0
11,Fruit,Apples,80810, apples, fresh,0,0,0,0,0,0,0,0,0,0,0
12,Fruit,Apples,81330, apples, dried,0,0,0,0,0,0,0,0,0,0,0
13,Fruit,Apricots,80910, apricots, fresh,0,0,0,0,0,0,0,0,0,0,0
14,Fruit,Apricots,81310, apricots, dried,0,0,0,0,0,0,0,0,0,0,0
15,Fruit,Apricots,200850, apricots, prepared or preserved in ways n.e.s. in heading no. 2007 whether or not containing added sugar other sweetening matter or spirit,0,1,1,0,0,0,0,0,0,0,0
16,Fruit,Avocados,80440, avocados, fresh or dried,0,0,0,1,0,0,0,0,0,0,0
17,Fruit,Bananas,80300, bananas, (including plantains) fresh or dried,0,0,0,1,0,0,0,0,0,0,0
18,Fruit,Cherries,80920, cherries, fresh,0,0,0,0,0,0,0,0,0,0,0
19,Fruit,Cherries,81210, cherries, provisionally preserved but unsuitable in that state for immediate consumption,0,0,0,0,0,0,0,0,0,0,0
20,Fruit,Cherries,200860, cherries, prepared or preserved in ways n.e.s. in heading no. 2007 whether or not containing added sugar other sweetening matter or spirit,0,1,1,0,0,0,0,0,0,0,0
21,Fruit,Cranberries,81040, cranberries, bilberries and other fruits of the genus vaccinium fresh,0,0,0,0,0,0,0,0,0,0,0
22,Fruit,Currants,81030, black, white or red currants and gooseberries fresh,0,0,0,0,0,0,0,0,0,0,0
23,Fruit,Currants,81120, raspberries, blackberries mulberries loganberries black white or red currants and gooseberries uncooked or cooked whether or not containing added sugar or other sweetening matter,0,0,1,0,0,0,0,0,0,0,0
24,Fruit,Dates,80410, dates, fresh or dried,0,0,0,1,0,0,0,0,0,0,0
25,Fruit,Figs,80420, figs, fresh or dried,0,0,0,1,0,0,0,0,0,0,0
26,Fruit,Fruit Fresh Nes,80590, citrus fruit n.e.s. in heading no. 0805, fresh or dried,0,0,0,1,0,0,0,0,0,0,0
27,Fruit,Gooseberries,81030, black, white or red currants and gooseberries fresh,0,0,0,0,0,0,0,0,0,0,0
28,Fruit,Gooseberries,81120, raspberries, blackberries mulberries loganberries black white or red currants and gooseberries uncooked or cooked whether or not containing added sugar or other sweetening matter,0,0,1,0,0,0,0,0,0,0,0
29,Fruit,Grapes,80610, grapes, fresh,0,0,0,0,0,0,0,0,0,0,0
30,Fruit,Grapes,80620, grapes, dried,0,0,0,0,0,0,0,0,0,0,0
31,Fruit,Oranges,80510, oranges, fresh or dried,0,0,0,1,0,0,0,0,0,0,0
32,Fruit,Papayas,80720, papaws (papayas), fresh,0,0,0,0,0,0,0,0,0,0,0
33,Fruit,Pears,80820, pears and quinces, fresh,0,0,0,0,0,0,0,0,0,0,0
34,Fruit,Pears,200840, pears, prepared or preserved in ways n.e.s. in heading no. 2007 whether or not containing added sugar other sweetening matter or spirit,0,1,1,0,0,0,0,0,0,0,0
35,Fruit,Pineapples,80430, pineapples, fresh or dried,0,0,0,1,0,0,0,0,0,0,0
36,Fruit,Pineapples,200820, pineapples, prepared or preserved in ways n.e.s. in heading no. 2007 whether or not containing added sugar other sweetening matter or spirit,0,1,1,0,0,0,0,0,0,0,0
37,Fruit,Plantains,80300, bananas, (including plantains) fresh or dried,0,0,0,1,0,0,0,0,0,0,0
38,Fruit,Plums and sloes,80940, plums and sloes, fresh,0,0,0,0,0,0,0,0,0,0,0
39,Fruit,Quinces,80820, pears and quinces, fresh,0,0,0,0,0,0,0,0,0,0,0
40,Fruit,Raspberries,81020, raspberries, blackberries mulberries and loganberries fresh,0,0,0,0,0,0,0,0,0,0,0
41,Fruit,Raspberries,81120, raspberries, blackberries mulberries loganberries black white or red currants and gooseberries uncooked or cooked whether or not containing added sugar or other sweetening matter,0,0,1,0,0,0,0,0,0,0,0
42,Fruit,Strawberries,81010, strawberries, fresh,0,0,0,0,0,0,0,0,0,0,0
43,Fruit,Strawberries,81110, strawberries, uncooked or cooked by steaming or boiling in water frozen whether or not containing added sugar or other sweetening matter,0,0,1,0,0,0,0,0,0,0,0
44,Fruit,Strawberries,81220, strawberries, provisionally preserved but unsuitable in that state for immediate consumption,0,0,0,0,0,0,0,0,0,0,0
45,Fruit,Strawberries,200880, strawberries, prepared or preserved in ways n.e.s. in heading no. 2007 whether or not containing added sugar other sweetening matter or spirit,0,1,1,0,0,0,0,0,0,0,0
46,Vegetables&Melons,Artichokes,70910, globe artichokes, fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
47,Vegetables&Melons,Artichokes,71490, arrowroot, salep Jerusalem artichokes and similar roots and tubers (not manioc or sweet potatoes) high starch or inulin content fresh chilled frozen or dried whether or not sliced or in the form of pellets,0,0,0,1,0,0,0,0,0,0,0
48,Vegetables&Melons,Asparagus,70920, asparagus, fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
49,Vegetables&Melons,Asparagus,200560, asparagus, prepared or preserved otherwise than by vinegar or acetic acid not frozen,0,1,0,0,0,0,0,0,0,0,0
50,Vegetables&Melons,Carrots and turnips,70610, carrots and turnips, fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
51,Vegetables&Melons,Cauliflowers and broccoli,70410, cauliflowers and headed broccoli, fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
52,Vegetables&Melons,Cucumbers and gherkins,70700, cucumbers and gherkins, fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
53,Vegetables&Melons,Cucumbers and gherkins,71140, cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption,0,0,0,0,0,0,0,0,0,0,0
54,Vegetables&Melons,Cucumbers and gherkins,200110, cucumbers and gherkins, prepared or preserved by vinegar or acetic acid,0,1,0,0,0,0,0,0,0,0,0
55,Vegetables&Melons,Cucumbers and gherkins,200190, vegetables, fruit nuts and other edible parts of plants prepared or preserved by vinegar or acetic acid (excluding cucumbers gherkins and onions),1,1,0,0,0,0,0,0,0,0,0
56,Vegetables&Melons,Garlic,70320, garlic, fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
57,Vegetables&Melons,Mushrooms and truffles,71230, mushrooms and truffles, whole cut sliced broken or in powder but not further prepared dried,0,0,0,0,0,0,0,0,1,0,0
58,Vegetables&Melons,Spinach,70970, spinach, New Zealand spinach and orache spinach (garden spinach) fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
59,Vegetables&Melons,Spinach,71030, spinach, New Zealand spinach and orache spinach (garden spinach) uncooked or cooked by steaming or boiling in water frozen,0,0,0,0,0,0,0,0,0,0,0
60,Vegetables&Melons,Tomatoes,70200, tomatoes, fresh or chilled,0,0,0,0,0,0,0,0,0,0,0
61,Vegetables&Melons,Tomatoes,200210, tomatoes, whole or in pieces prepared or preserved otherwise than by vinegar or acetic acid,0,1,0,0,0,0,0,0,0,0,0
62,Vegetables&Melons,Tomatoes,200290, tomatoes, (other than whole or in pieces) prepared or preserved otherwise than by vinegar or acetic acid,0,1,0,0,0,0,0,0,0,0,0
63,Vegetables&Melons,Watermelons,80711, watermelons, fresh,0,0,0,0,0,0,0,0,0,0,0
64,Vegetables&Melons,Watermelons,80719, melons, (other than watermelons) fresh,0,0,0,0,0,0,0,0,0,0,0
65,Vegetables&Melons,Watermelons,81400, of citrus fruit or melons (including watermelons), fresh frozen dried or provisionally preserved in brine in sulphur water and other preservative solutions,0,0,0,1,0,0,0,0,0,0,0
66,Pulses,Lentils,71340, lentils, shelled whether or not skinned or split dried,0,0,0,0,1,0,0,0,0,0,0
67,Cereals,Barley,100300, barley,N/A,0,0,0,0,0,0,0,0,0,0,0
68,Cereals,Barley,110411, rolled or flaked, of barley,0,0,0,0,0,0,0,0,0,0,0
69,Cereals,Barley,110419, rolled or flaked, of cereals excluding barley and oats,0,0,0,0,0,0,0,0,0,0,0
70,Cereals,Barley,110421, worked (eg hulled, pearled sliced or kibbled) of barley,0,0,0,0,0,0,0,0,0,0,0
71,Cereals,Buckwheat,100810, buckwheat,N/A,0,0,0,0,0,0,0,0,0,0,0
72,Cereals,Canary seed,100830, canary seed,N/A,0,0,0,0,0,0,0,0,0,0,0
73,Cereals,Maize,100510, maize (corn), seed,0,0,0,0,0,0,0,0,0,0,0
74,Cereals,Maize,100590, maize (corn), other than seed,0,0,0,0,0,0,0,0,0,0,0
