,Group,FAO Cropname,Crop ID,Description,Auxiliary Info,edible,modified,fresh,frozen,shelled,dried,chilled,seed,ground,preserved
0,Roots&Tubers,"Roots and Tubers, nes",60110, bulbs, tubers tuberous roots corms crowns and rhizomes dormant,0,0,0,0,0,0,0,0,0,0
1,Roots&Tubers,"Roots and Tubers, nes",60120, bulbs, tubers tuberous roots corms crowns and rhizomes in growth or in flower chicory plants and roots other than of heading no. 1212,0,0,0,0,0,0,0,0,0,0
2,Fruit,"Fruit, tropical fresh nes",60220, edible fruit or nut trees, shrubs and bushes grafted or not,0,0,0,0,0,0,0,0,0,0
3,Roots&Tubers,Potatoes,70110, seed potatoes, fresh or chilled,0,0,1,0,0,0,1,0,0,0
4,Roots&Tubers,Potatoes,70190, potatoes (other than seed), fresh or chilled,0,0,1,0,0,0,1,0,0,0
5,Vegetables&Melons,Tomatoes,70200, tomatoes, fresh or chilled,0,0,1,0,0,0,1,0,0,0
6,Vegetables&Melons,"Onions, dry",70310, onions and shallots, fresh or chilled,0,0,1,0,0,0,1,0,0,0
7,Vegetables&Melons,Garlic,70320, garlic, fresh or chilled,0,0,1,0,0,0,1,0,0,0
8,Vegetables&Melons,Cauliflowers and broccoli,70410, cauliflowers and headed broccoli, fresh or chilled,0,0,1,0,0,0,1,0,0,0
9,Forage,cabbagefor,70511, cabbage (head) lettuce (lactuca sativa), fresh or chilled,0,0,1,0,0,0,1,0,0,0
10,Vegetables&Melons,Lettuce and chicory,70511, cabbage (head) lettuce (lactuca sativa), fresh or chilled,0,0,1,0,0,0,1,0,0,0
11,Forage,cabbagefor,70519, lettuce (lactuca sativa), (other than cabbage lettuce) fresh or chilled,0,0,1,0,0,0,1,0,0,0
12,Vegetables&Melons,Lettuce and chicory,70519, lettuce (lactuca sativa), (other than cabbage lettuce) fresh or chilled,0,0,1,0,0,0,1,0,0,0
13,Vegetables&Melons,Carrots and turnips,70610, carrots and turnips, fresh or chilled,0,0,1,0,0,0,1,0,0,0
14,Roots&Tubers,"Roots and Tubers, nes",70690, salad beetroot, salsify celeric radishes and similar edible roots fresh or chilled,1,0,1,0,0,0,1,0,0,0
15,Vegetables&Melons,Cucumbers and gherkins,70700, cucumbers and gherkins, fresh or chilled,0,0,1,0,0,0,1,0,0,0
16,Vegetables&Melons,"Peas, green",70810, peas (pisum sativum), shelled or unshelled fresh or chilled,0,0,1,0,1,0,1,0,0,0
17,Pulses,"Peas, dry",70810, peas (pisum sativum), shelled or unshelled fresh or chilled,0,0,1,0,1,0,1,0,0,0
18,Pulses,"Beans, dry",70820, beans (vigna spp., phaseolus spp.) shelled or unshelled fresh or chilled,0,0,1,0,1,0,1,0,0,0
19,Vegetables&Melons,"Peas, green",70890, (other than peas and beans), shelled or unshelled fresh or chilled,0,0,1,0,1,0,1,0,0,0
20,Pulses,"Beans, dry",70890, (other than peas and beans), shelled or unshelled fresh or chilled,0,0,1,0,1,0,1,0,0,0
21,Pulses,"Peas, dry",70890, (other than peas and beans), shelled or unshelled fresh or chilled,0,0,1,0,1,0,1,0,0,0
22,Vegetables&Melons,Asparagus,70920, asparagus, fresh or chilled,0,0,1,0,0,0,1,0,0,0
23,Vegetables&Melons,Mushrooms and truffles,70951, mushrooms of the genus Agaricus, fresh or chilled,0,0,1,0,0,0,1,0,0,0
24,Vegetables&Melons,Mushrooms and truffles,70959, truffles and mushrooms (other than of the genus Agaricus), fresh or chilled,0,0,1,0,0,0,1,0,0,0
25,Vegetables&Melons,Spinach,70970, spinach, New Zealand spinach and orache spinach (garden spinach) fresh or chilled,0,0,1,0,0,0,1,0,0,0
26,Vegetables&Melons,Artichokes,70991, globe artichokes, fresh or chilled,0,0,1,0,0,0,1,0,0,0
27,Oilcrops,Olives,70992, olives, fresh or chilled,0,0,1,0,0,0,1,0,0,0
28,Vegetables&Melons,"Pumpkins, squash and gourds",70993, pumpkins, squash and gourds (Cucurbita spp.) fresh or chilled,0,0,1,0,0,0,1,0,0,0
29,Roots&Tubers,Potatoes,71010, potatoes, uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,0,0,0,0,0,0
30,Vegetables&Melons,"Peas, green",71021, peas (pisum sativum), shelled or unshelled uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,1,0,0,0,0,0
31,Pulses,"Peas, dry",71021, peas (pisum sativum), shelled or unshelled uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,1,0,0,0,0,0
32,Pulses,"Beans, dry",71022, beans (vigna spp., phaseolus spp.) shelled or unshelled uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,1,0,0,0,0,0
33,Vegetables&Melons,"Peas, green",71029, (other than peas or beans), shelled or unshelled uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,1,0,0,0,0,0
34,Pulses,"Beans, dry",71029, (other than peas or beans), shelled or unshelled uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,1,0,0,0,0,0
35,Pulses,"Peas, dry",71029, (other than peas or beans), shelled or unshelled uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,1,0,0,0,0,0
36,Vegetables&Melons,Spinach,71030, spinach, New Zealand spinach and orache spinach (garden spinach) uncooked or cooked by steaming or boiling in water frozen,0,0,0,1,0,0,0,0,0,0
37,Oilcrops,Olives,71120, olives, provisionally preserved but unsuitable in that state for immediate consumption,0,0,0,0,0,0,0,0,0,1
38,Vegetables&Melons,Cucumbers and gherkins,71140, cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption,0,0,0,0,0,0,0,0,0,1
39,Vegetables&Melons,Mushrooms and truffles,71151, mushrooms of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption,0,0,0,0,0,0,0,0,0,1
40,Vegetables&Melons,Mushrooms and truffles,71159, mushrooms other than of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption,0,0,0,0,0,0,0,0,0,1
41,Vegetables&Melons,"Onions, dry",71220, onions, whole cut sliced broken or in powder but not further prepared dried,0,0,0,0,0,1,0,0,0,0
42,Vegetables&Melons,Mushrooms and truffles,71231, mushrooms of the genus Agaricus, whole cut sliced broken or in powder but not further prepared dried,0,0,0,0,0,1,0,0,0,0
43,Vegetables&Melons,Mushrooms and truffles,71239, mushrooms, other than the genus Agaricus and truffles whole cut sliced broken or in powder but not further prepared dried,0,0,0,0,0,1,0,0,0,0
44,Vegetables&Melons,"Peas, green",71310, peas (pisum sativum), shelled whether or not skinned or split dried,0,0,0,0,1,1,0,0,0,0
45,Pulses,"Peas, dry",71310, peas (pisum sativum), shelled whether or not skinned or split dried,0,0,0,0,1,1,0,0,0,0
46,Pulses,"Beans, dry",71331, beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, shelled whether or not skinned or split dried,0,0,0,0,1,1,0,0,0,0
