Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","221","Almonds, with shell","2018","2018","tonnes","34413","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2018","2018","tonnes","18093","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","515","Apples","2018","2018","tonnes","217192","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","526","Apricots","2018","2018","tonnes","109086","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","44","Barley","2018","2018","tonnes","56781","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","558","Berries nes","2018","2018","tonnes","29660","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","767","Cotton lint","2018","2018","tonnes","18958","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","329","Cottonseed","2018","2018","tonnes","37342","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","569","Figs","2018","2018","tonnes","9481","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","16211","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","62599","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","541","Fruit, stone nes","2018","2018","tonnes","48613","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","560","Grapes","2018","2018","tonnes","984081","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","333","Linseed","2018","2018","tonnes","30324","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","56","Maize","2018","2018","tonnes","106670","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","373538","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","79","Millet","2018","2018","tonnes","5263","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","165","Molasses","2018","2018","tonnes","322","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","234","Nuts nes","2018","2018","tonnes","1489","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","331","Oil, cottonseed","2018","2018","tonnes","6520","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","334","Oil, linseed","2018","2018","tonnes","25181","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","261","Oil, olive, virgin","2018","2018","tonnes","812","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","290","Oil, sesame","2018","2018","tonnes","1211","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","268","Oil, sunflower","2018","2018","tonnes","3199","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","260","Olives","2018","2018","tonnes","8539","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","403","Onions, dry","2018","2018","tonnes","154257","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","490","Oranges","2018","2018","tonnes","5600","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","534","Peaches and nectarines","2018","2018","tonnes","47935","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","521","Pears","2018","2018","tonnes","8485","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","223","Pistachios","2018","2018","tonnes","2755","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","536","Plums and sloes","2018","2018","tonnes","33695","Im","FAO data based on imputation methodology"
