CROPNAME,Cropname_FAO,Cropname_FAO_original,GROUP
abaca,Manila Fibre (Abaca),Manila Fibre (Abaca),Fiber
agave,Agave Fibres Nes,Agave Fibres Nes,Fiber
alfalfa,alfalfa,alfalfa,Forage
almond,"Almonds, with shell","Almonds, with shell",Treenuts
aniseetc,"Anise, badian, fennel, corian","Anise, badian, fennel, corian",OtherCrops
apple,Apples,Apples,Fruit
apricot,Apricots,Apricots,Fruit
areca,Arecanuts,Arecanuts,OtherCrops
artichoke,Artichokes,Artichokes,Vegetables&Melons
asparagus,Asparagus,Asparagus,Vegetables&Melons
avocado,Avocados,Avocados,Fruit
bambara,Bambara beans,Bambara beans,Pulses
banana,Bananas,Bananas,Fruit
barley,Barley,Barley,Cereals
bean,Beans,"Beans, dry",Pulses
beetfor,beetfor,beetfor,Forage
berrynes,Berries,Berries Nes,Fruit
blueberry,Blueberries,Blueberries,Fruit
brazil,Brazil nuts,"Brazil nuts, with shell",Treenuts
broadbean,"Broad beans, horse beans","Broad beans, horse beans, dry",Pulses
buckwheat,Buckwheat,Buckwheat,Cereals
cabbage,"Cabbages, brassica",Cabbages and other brassicas,Vegetables&Melons
cabbagefor,cabbage,cabbagefor,Forage
canaryseed,Canary seed,Canary seed,Cereals
carob,Carobs,Carobs,Fruit
carrot,"Carrots, turnips",Carrots and turnips,Vegetables&Melons
carrotfor,carrotfor,carrotfor,Forage
cashew,Cashew nuts,"Cashew nuts, with shell",Treenuts
cashewapple,Cashew apple,Cashewapple,Fruit
cassava,Cassava,Cassava,Roots&Tubers
castor,Castor oil seed,Castor oil seed,Oilcrops
cauliflower,"Cauliflowers, broccoli",Cauliflowers and broccoli,Vegetables&Melons
cerealnes,Cereals,"Cereals, nes",Cereals
cherry,Cherries,Cherries,Fruit
chestnut,Chestnuts,Chestnuts,Treenuts
chickpea,Chick peas,Chick peas,Pulses
chicory,Chicory roots,Chicory roots,OtherCrops
chilleetc,"Chillies, peppers","Chillies and peppers, green",Vegetables&Melons
cinnamon,Cinnamon,Cinnamon (canella),OtherCrops
citrusnes,Citrus,"Citrus fruit, nes",Fruit
clove,Cloves,Cloves,OtherCrops
clover,clover,clover,Forage
cocoa,Cocoa beans,Cocoa beans,OtherCrops
coconut,Coconuts,Coconuts,Oilcrops
coffee,Coffee,"Coffee, green",OtherCrops
coir,Coir,Coir,Fiber
cotton,Seed cotton,Seed cotton,Fiber
cowpea,Cow peas,"Cow peas, dry",Pulses
cranberry,Cranberries,Cranberries,Fruit
cucumberetc,"Cucumbers, gherkins",Cucumbers and gherkins,Vegetables&Melons
currant,Currants,Currants,Fruit
date,Dates,Dates,Fruit
eggplant,Eggplants,Eggplants (aubergines),Vegetables&Melons
fibrenes,Fibre Crops,Fibre Crops Nes,Fiber
fig,Figs,Figs,Fruit
flax,"Flax fibre,  tow",Flax fibre and tow,Fiber
fonio,Fonio,Fonio,Cereals
fornes,fornes,fornes,Forage
fruitnes,Fruit Fresh,Fruit Fresh Nes,Fruit
garlic,Garlic,Garlic,Vegetables&Melons
