"code","desc"
"060110","Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant"
"060120","Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212"
"060210","Plants, live; unrooted cuttings and slips"
"060220","Plants, live; edible fruit or nut trees, shrubs and bushes, grafted or not"
"060230","Plants, live; rhododendrons and azaleas, grafted or not"
"060240","Plants, live; roses, grafted or not"
"060290","Plants, live; n.e.c. in heading no. 0602"
"060311","Flowers, cut; roses, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
"060312","Flowers, cut; carnations, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
"060313","Flowers, cut; orchids, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
"060314","Flowers, cut; chrysanthemums, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh"
"060315","Flowers, cut; lilies (Lilium spp.), flowers and flower buds of a kind suitable for bouquets or ornamental purposes, fresh"
"060319","Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, chrysanthemums or lillies"
"060390","Flowers, cut; flowers and flower buds of a kind suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
"060420","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, fresh"
"060490","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
"070110","Vegetables; seed potatoes, fresh or chilled"
"070190","Vegetables; potatoes (other than seed), fresh or chilled"
"070200","Vegetables; tomatoes, fresh or chilled"
"070310","Vegetables, alliaceous; onions and shallots, fresh or chilled"
"070320","Vegetables, alliaceous; garlic, fresh or chilled"
"070390","Vegetables, alliaceous; leeks and other kinds n.e.c. in heading no. 0703, fresh or chilled"
"070410","Vegetables, brassica; cauliflowers and headed broccoli, fresh or chilled"
"070420","Vegetables, brassica; brussel sprouts, fresh or chilled"
"070490","Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled"
"070511","Vegetables; cabbage (head) lettuce (lactuca sativa), fresh or chilled"
"070519","Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled"
"070521","Vegetables; witloff chicory (cichorium intybus var. foliosum), fresh or chilled"
"070529","Vegetables; chicory (cichorium spp.), (other than witloof chicory), fresh or chilled"
"070610","Vegetables, root; carrots and turnips, fresh or chilled"
"070690","Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled"
"070700","Vegetables; cucumbers and gherkins, fresh or chilled"
"070810","Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, fresh or chilled"
"070820","Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled"
"070890","Vegetables, leguminous; (other than peas and beans), shelled or unshelled, fresh or chilled"
"070920","Vegetables; asparagus, fresh or chilled"
"070930","Vegetables; aubergines, (e.g. plants), fresh or chilled"
"070940","Vegetables; celery (other than celeriac), fresh or chilled"
"070951","Vegetables; mushrooms of the genus Agaricus, fresh or chilled"
"070959","Vegetables; truffles and mushrooms (other than of the genus Agaricus), fresh or chilled"
"070960","Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled"
"070970","Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled"
"070991","Vegetables; globe artichokes, fresh or chilled"
"070992","Vegetables; olives, fresh or chilled"
"070993","Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled"
"070999","Vegetables; edible, n.e.c. in chapter 07, fresh or chilled"
"071010","Vegetables; potatoes, uncooked or cooked by steaming or boiling in water, frozen"
"071021","Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen"
"071022","Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen"
"071029","Vegetables, leguminous; (other than peas or beans), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen"
"071030","Vegetables; spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or cooked by steaming or boiling in water, frozen"
"071040","Vegetables; sweetcorn, uncooked or cooked by steaming or boiling in water, frozen"
"071080","Vegetables; uncooked or cooked by steaming or boiling in water, n.e.c. in heading no. 0710, frozen"
"071090","Vegetable mixtures; uncooked or cooked by steaming or boiling in water, frozen"
"071120","Vegetables; olives, provisionally preserved but unsuitable in that state for immediate consumption"
"071140","Vegetables; cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption"
"071151","Vegetables; mushrooms of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption"
"071159","Vegetables; mushrooms other than of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption"
"071190","Vegetables and mixed vegetables; n.e.c. in heading no. 0711, provisionally preserved but unsuitable in that state for immediate consumption"
"071220","Vegetables; onions, whole, cut, sliced, broken or in powder but not further prepared, dried"
"071231","Vegetables; mushrooms of the genus Agaricus, whole, cut, sliced, broken or in powder but not further prepared, dried"
"071232","Vegetables; wood ears (Auricularia spp), whole, cut, sliced, broken or in powder but not further prepared, dried"
"071233","Vegetables; jelly fungi (Tremella spp)), whole, cut, sliced, broken or in powder but not further prepared, dried"
"071239","Vegetables; mushrooms, other than the genus Agaricus and truffles, whole, cut, sliced, broken or in powder but not further prepared, dried"
"071290","Vegetables; mixtures of vegetables n.e.c. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried"
"071310","Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried"
"071320","Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried"
"071331","Vegetables, leguminous; beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, shelled, whether or not skinned or split, dried"
"071332","Vegetables, leguminous; small red (adzuki) beans (phaseolus or vigna angularis), shelled, whether or not skinned or split, dried"
"071333","Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), shelled, whether or not skinned or split, dried"
"071334","Vegetables, leguminous; bambara beans (Vigna subterranea or Voandzeia subterranea), shelled, whether or not skinned or split, dried"
"071335","Vegetables, leguminous; cow peas (Vigna unguiculata), shelled, whether or not skinned or split, dried"
"071339","Vegetables, leguminous; n.e.c. in item no. 0713.3, shelled, whether or not skinned or split, dried"
"071340","Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried"
"071350","Vegetables, leguminous; broad beans (vicia faba var. major) and horse beans (vicia faba var. equina and vicia faba var. minor), shelled, whether or not skinned or split, dried"
"071360","Vegetables, leguminous; pigeon peas (Cajanus cajan), shelled, whether or not skinned or split, dried"
"071390","Vegetables, leguminous; n.e.c. in heading no. 0713, shelled, whether or not skinned or split, dried"
"071410","Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
"071420","Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
"071430","Vegetable roots and tubers; yams (Dioscorea spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
"071440","Vegetable roots and tubers; taro (Colocasia spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
"071450","Vegetable roots and tubers; yautia (Xanthosoma spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
"071490","Vegetable roots and tubers; arrowroot, salep, Jerusalem artichokes and similar roots and tubers (not manioc, sweet potatoes, yams, taro or yautia), high starch or inulin content, fresh, chilled, frozen, dried, sliced or not, or in pellet form; sago pith"
"080111","Nuts, edible; coconuts, desiccated"
"080112","Nuts, edible; coconuts, in the inner shell (endocarp)"
"080119","Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)"
"080121","Nuts, edible; brazil nuts, fresh or dried, in shell"
"080122","Nuts, edible; brazil nuts, fresh or dried, shelled"
"080131","Nuts, edible; cashew nuts, fresh or dried, in shell"
"080132","Nuts, edible; cashew nuts, fresh or dried, shelled"
"080211","Nuts, edible; almonds, fresh or dried, in shell"
"080212","Nuts, edible; almonds, fresh or dried, shelled"
"080221","Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell"
"080222","Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled"
"080231","Nuts, edible; walnuts, fresh or dried, in shell"
"080232","Nuts, edible; walnuts, fresh or dried, shelled"
"080241","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell"
"080242","Nuts, edible; chestnuts (Castanea spp.), fresh or dried, shelled"
"080251","Nuts, edible; pistachios, fresh or dried, in shell"
"080252","Nuts, edible; pistachios, fresh or dried, shelled"
"080261","Nuts, edible; macadamia, fresh or dried, in shell"
"080262","Nuts, edible; macadamia, fresh or dried, shelled"
"080270","Nuts, edible; kola nuts (Cola spp.), fresh or dried, whether or not shelled or peeled"
"080280","Nuts, edible; areca nuts, fresh or dried, whether or not shelled or peeled"
"080290","Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled"
"080310","Fruit, edible; plantains, fresh or dried"
"080390","Fruit, edible; bananas, other than plantains, fresh or dried"
"080410","Fruit, edible; dates, fresh or dried"
"080420","Fruit, edible; figs, fresh or dried"
"080430","Fruit, edible; pineapples, fresh or dried"
"080440","Fruit, edible; avocados, fresh or dried"
"080450","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried"
"080510","Fruit, edible; oranges, fresh or dried"
"080521","Fruit, edible; mandarins (including tangerines and satsumas), fresh or dried"
"080522","Fruit, edible; clementines, fresh or dried"
"080529","Fruit, edible; tangelos, wilkings and similar citrus hybrid, fresh or dried"
"080540","Fruit, edible; grapefruit, including pomelos, fresh or dried"
"080550","Fruit, edible; lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried"
"080590","Fruit, edible; citrus fruit n.e.c. in heading no. 0805, fresh or dried"
"080610","Fruit, edible; grapes, fresh"
"080620","Fruit, edible; grapes, dried"
"080711","Fruit, edible; watermelons, fresh"
"080719","Fruit, edible; melons, other than watermelons, fresh"
"080720","Fruit, edible; papaws (papayas), fresh"
"080810","Fruit, edible; apples, fresh"
"080830","Fruit, edible; pears, fresh"
"080840","Fruit, edible; quinces, fresh"
"080910","Fruit, edible; apricots, fresh"
"080921","Fruit, edible; sour cherries (Prunus cerasus), fresh"
"080929","Fruit, edible; cherries, other than sour cherries (Prunus cerasus), fresh"
"080930","Fruit, edible; peaches, including nectarines, fresh"
"080940","Fruit, edible; plums and sloes, fresh"
"081010","Fruit, edible; strawberries, fresh"
"081020","Fruit, edible; raspberries, blackberries, mulberries, and loganberries, fresh"
"081030","Fruit, edible; black, white or red currants and gooseberries, fresh"
"081040","Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh"
"081050","Fruit, edible; kiwifruit, fresh"
"081060","Fruit, edible; durians, fresh"
"081070","Fruit, edible; persimmons, fresh"
"081090","Fruit, edible; fruits n.e.c. in heading no. 0801 to 0810, fresh"
"081110","Fruit, edible; strawberries, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter"
"081120","Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter"
